No,Surname,Other Names,Running Mate Surname,Running Mate Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv,
194,KUMENDA,ABOKO J S,ARISA,M RICHARD,46,NYAMIRA,IND,INDEPENDENT,IND,
195,NYAGARAMA,JOHN OBIERO,NYARIBO,AMOS KIMWOMI,46,NYAMIRA,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
196,NYAKIBA,ERNEO MAGETO MORURI,NDUBI,FRANK P,46,NYAMIRA,15,PARTY FOR DEVELOPMENT AND REFORM,PDR,
197,OKIOMA,SAMSON MWANCHA NYANG'AU,MOMANYI,JOB NYASIMI,46,NYAMIRA,39,PEOPLES DEMOCRATIC PARTY,PDP,
198,OKONGO,KENNEDY MONGARE,ONKANGI,CHELIMO EMMACULATE,46,NYAMIRA,71,NATIONAL LIBERAL PARTY,NLP,
199,ONDICHO,JAMES GESAMI,MAIKO,MAGETO PETER,46,NYAMIRA,IND,INDEPENDENT,IND,
200,ONGAGA,EVANS NYATIGO,NYAKANGO,JARED OSORO,46,NYAMIRA,54,CHAMA CHA MASHINANI,CCM,
201,ONYANCHA,DAVID ANASI,BORURA,SAMSON NYAMBATI AKARA,46,NYAMIRA,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K,
202,OSEBE,WALTER ENOCK NYAMBATI,OBOSO,STEVEN KENNEDY,46,NYAMIRA,27,JUBILEE PARTY,JP,
203,EVANS,KIDERO ODHIAMBO,MUEKE,JONATHAN MWANGANGI,47,NAIROBI CITY,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
204,FRANCIS,MWANGA INGANJI,ANGWENYI,PETERSON RONGI,47,NAIROBI CITY,37,NATIONAL AGENDA PARTY OF KENYA,NAPK,
205,KENNETH,PETER,SHIKANDA,DANIEL AKALA,47,NAIROBI CITY,IND,INDEPENDENT,IND,
206,KIOKO,MIKE SONKO MBUVI GIDION,KAMAU,POLYCARP IGATHE,47,NAIROBI CITY,27,JUBILEE PARTY,JP,
207,MACHARIA,LAWRENCE KAMAU,ZEIN,AHMED MOHAMED,47,NAIROBI CITY,44,PARTY OF DEMOCRATIC UNITY,PDU,
208,MIGUNA,MIGUNA,WANGENYE,KAREN ELIZABETH WANJIKU,47,NAIROBI CITY,IND,INDEPENDENT,IND,
209,MUMO,MICHAEL MUTINDA,KIMUNYU,ANNE WAMUYU,47,NAIROBI CITY,17,AGANO PARTY,AGANO,
210,WAWERU,GODFREY WANYOIKE,OMUKAWILA,DOUGLAS LAWRENCE EBOLE,47,NAIROBI CITY,IND,INDEPENDENT,IND,
